30, 30
0, 0, 2
0, 1, 2
0, 2, 2
0, 3, 2
0, 4, 2
0, 5, 2
0, 6, 1
0, 7, 2
0, 8, 2
0, 9, 1
0, 10, 1
0, 11, 1
0, 12, 2
0, 13, 1
0, 14, 2
0, 15, 2
0, 16, 1
0, 17, 1
0, 18, 2
0, 19, 1
0, 20, 1
0, 21, 1
0, 22, 2
0, 23, 2
0, 24, 2
0, 25, 1
0, 26, 2
0, 27, 2
0, 28, 1
0, 29, 1
1, 0, 2
1, 1, 2
1, 2, 1
1, 3, 2
1, 4, 2
1, 5, 1
1, 6, 2
1, 7, 2
1, 8, 1
1, 9, 2
1, 10, 2
1, 11, 2
1, 12, 2
1, 13, 1
1, 14, 2
1, 15, 1
1, 16, 1
1, 17, 2
1, 18, 1
1, 19, 1
1, 20, 2
1, 21, 2
1, 22, 1
1, 23, 2
1, 24, 1
1, 25, 1
1, 26, 1
1, 27, 1
1, 28, 1
1, 29, 2
2, 0, 1
2, 1, 1
2, 2, 2
2, 3, 1
2, 4, 1
2, 5, 1
2, 6, 1
2, 7, 1
2, 8, 2
2, 9, 1
2, 10, 1
2, 11, 2
2, 12, 2
2, 13, 1
2, 14, 2
2, 15, 1
2, 16, 2
2, 17, 1
2, 18, 1
2, 19, 1
2, 20, 1
2, 21, 2
2, 22, 1
2, 23, 1
2, 24, 2
2, 25, 1
2, 26, 1
2, 27, 2
2, 28, 2
2, 29, 2
3, 0, 2
3, 1, 1
3, 2, 1
3, 3, 1
3, 4, 2
3, 5, 1
3, 6, 1
3, 7, 2
3, 8, 1
3, 9, 2
3, 10, 1
3, 11, 2
3, 12, 2
3, 13, 2
3, 14, 2
3, 15, 1
3, 16, 2
3, 17, 1
3, 18, 2
3, 19, 1
3, 20, 2
3, 21, 2
3, 22, 1
3, 23, 1
3, 24, 2
3, 25, 2
3, 26, 1
3, 27, 1
3, 28, 2
3, 29, 1
4, 0, 1
4, 1, 2
4, 2, 2
4, 3, 2
4, 4, 2
4, 5, 2
4, 6, 2
4, 7, 2
4, 8, 2
4, 9, 1
4, 10, 1
4, 11, 2
4, 12, 1
4, 13, 1
4, 14, 2
4, 15, 2
4, 16, 1
4, 17, 2
4, 18, 2
4, 19, 1
4, 20, 1
4, 21, 1
4, 22, 1
4, 23, 1
4, 24, 2
4, 25, 1
4, 26, 2
4, 27, 1
4, 28, 1
4, 29, 2
5, 0, 2
5, 1, 1
5, 2, 2
5, 3, 1
5, 4, 2
5, 5, 2
5, 6, 2
5, 7, 1
5, 8, 1
5, 9, 1
5, 10, 1
5, 11, 2
5, 12, 1
5, 13, 1
5, 14, 2
5, 15, 2
5, 16, 1
5, 17, 1
5, 18, 2
5, 19, 2
5, 20, 1
5, 21, 1
5, 22, 2
5, 23, 1
5, 24, 2
5, 25, 1
5, 26, 2
5, 27, 2
5, 28, 2
5, 29, 2
6, 0, 1
6, 1, 2
6, 2, 2
6, 3, 1
6, 4, 1
6, 5, 2
6, 6, 2
6, 7, 1
6, 8, 2
6, 9, 1
6, 10, 2
6, 11, 2
6, 12, 1
6, 13, 2
6, 14, 1
6, 15, 2
6, 16, 2
6, 17, 2
6, 18, 2
6, 19, 1
6, 20, 2
6, 21, 2
6, 22, 2
6, 23, 1
6, 24, 1
6, 25, 2
6, 26, 1
6, 27, 1
6, 28, 2
6, 29, 2
7, 0, 2
7, 1, 2
7, 2, 2
7, 3, 2
7, 4, 1
7, 5, 2
7, 6, 1
7, 7, 1
7, 8, 2
7, 9, 1
7, 10, 1
7, 11, 1
7, 12, 2
7, 13, 2
7, 14, 2
7, 15, 2
7, 16, 1
7, 17, 1
7, 18, 2
7, 19, 1
7, 20, 2
7, 21, 1
7, 22, 2
7, 23, 1
7, 24, 1
7, 25, 2
7, 26, 1
7, 27, 2
7, 28, 2
7, 29, 2
8, 0, 1
8, 1, 2
8, 2, 2
8, 3, 1
8, 4, 2
8, 5, 1
8, 6, 2
8, 7, 1
8, 8, 1
8, 9, 1
8, 10, 2
8, 11, 2
8, 12, 2
8, 13, 1
8, 14, 1
8, 15, 2
8, 16, 2
8, 17, 2
8, 18, 2
8, 19, 1
8, 20, 1
8, 21, 1
8, 22, 1
8, 23, 1
8, 24, 1
8, 25, 2
8, 26, 1
8, 27, 2
8, 28, 2
8, 29, 1
9, 0, 2
9, 1, 2
9, 2, 2
9, 3, 2
9, 4, 1
9, 5, 1
9, 6, 2
9, 7, 1
9, 8, 2
9, 9, 2
9, 10, 2
9, 11, 2
9, 12, 1
9, 13, 2
9, 14, 1
9, 15, 1
9, 16, 2
9, 17, 2
9, 18, 2
9, 19, 1
9, 20, 2
9, 21, 2
9, 22, 1
9, 23, 1
9, 24, 2
9, 25, 2
9, 26, 1
9, 27, 2
9, 28, 1
9, 29, 2
10, 0, 2
10, 1, 1
10, 2, 2
10, 3, 2
10, 4, 1
10, 5, 2
10, 6, 1
10, 7, 1
10, 8, 1
10, 9, 2
10, 10, 1
10, 11, 2
10, 12, 2
10, 13, 1
10, 14, 1
10, 15, 2
10, 16, 2
10, 17, 2
10, 18, 2
10, 19, 2
10, 20, 1
10, 21, 2
10, 22, 1
10, 23, 2
10, 24, 1
10, 25, 1
10, 26, 1
10, 27, 1
10, 28, 2
10, 29, 2
11, 0, 1
11, 1, 1
11, 2, 1
11, 3, 1
11, 4, 1
11, 5, 2
11, 6, 1
11, 7, 2
11, 8, 1
11, 9, 1
11, 10, 2
11, 11, 1
11, 12, 1
11, 13, 1
11, 14, 2
11, 15, 1
11, 16, 1
11, 17, 1
11, 18, 1
11, 19, 1
11, 20, 2
11, 21, 2
11, 22, 2
11, 23, 1
11, 24, 2
11, 25, 2
11, 26, 2
11, 27, 1
11, 28, 2
11, 29, 2
12, 0, 1
12, 1, 1
12, 2, 1
12, 3, 1
12, 4, 2
12, 5, 2
12, 6, 2
12, 7, 1
12, 8, 2
12, 9, 2
12, 10, 1
12, 11, 2
12, 12, 1
12, 13, 1
12, 14, 2
12, 15, 2
12, 16, 1
12, 17, 1
12, 18, 2
12, 19, 1
12, 20, 1
12, 21, 1
12, 22, 2
12, 23, 1
12, 24, 2
12, 25, 2
12, 26, 2
12, 27, 2
12, 28, 2
12, 29, 2
13, 0, 2
13, 1, 2
13, 2, 2
13, 3, 1
13, 4, 2
13, 5, 2
13, 6, 1
13, 7, 2
13, 8, 1
13, 9, 2
13, 10, 2
13, 11, 2
13, 12, 1
13, 13, 1
13, 14, 2
13, 15, 2
13, 16, 2
13, 17, 1
13, 18, 1
13, 19, 1
13, 20, 2
13, 21, 1
13, 22, 2
13, 23, 2
13, 24, 1
13, 25, 1
13, 26, 1
13, 27, 1
13, 28, 1
13, 29, 2
14, 0, 2
14, 1, 2
14, 2, 1
14, 3, 2
14, 4, 2
14, 5, 1
14, 6, 1
14, 7, 2
14, 8, 1
14, 9, 1
14, 10, 1
14, 11, 1
14, 12, 2
14, 13, 1
14, 14, 1
14, 15, 1
14, 16, 1
14, 17, 1
14, 18, 2
14, 19, 2
14, 20, 1
14, 21, 2
14, 22, 1
14, 23, 2
14, 24, 1
14, 25, 1
14, 26, 1
14, 27, 1
14, 28, 1
14, 29, 2
15, 0, 1
15, 1, 1
15, 2, 1
15, 3, 2
15, 4, 1
15, 5, 2
15, 6, 1
15, 7, 1
15, 8, 1
15, 9, 1
15, 10, 1
15, 11, 1
15, 12, 2
15, 13, 2
15, 14, 1
15, 15, 1
15, 16, 1
15, 17, 2
15, 18, 1
15, 19, 2
15, 20, 2
15, 21, 2
15, 22, 2
15, 23, 1
15, 24, 1
15, 25, 1
15, 26, 2
15, 27, 1
15, 28, 1
15, 29, 1
16, 0, 1
16, 1, 2
16, 2, 2
16, 3, 2
16, 4, 2
16, 5, 2
16, 6, 1
16, 7, 1
16, 8, 2
16, 9, 1
16, 10, 2
16, 11, 1
16, 12, 2
16, 13, 2
16, 14, 1
16, 15, 2
16, 16, 2
16, 17, 2
16, 18, 1
16, 19, 1
16, 20, 1
16, 21, 1
16, 22, 2
16, 23, 2
16, 24, 2
16, 25, 1
16, 26, 2
16, 27, 1
16, 28, 2
16, 29, 2
17, 0, 2
17, 1, 2
