30, 30
0, 0, 1
0, 1, 3
0, 2, 1
0, 3, 1
0, 4, 1
0, 5, 2
0, 6, 3
0, 7, 2
0, 8, 3
0, 9, 3
0, 10, 2
0, 11, 3
0, 12, 2
0, 13, 2
0, 14, 1
0, 15, 1
0, 16, 1
0, 17, 1
0, 18, 1
0, 19, 2
0, 20, 3
0, 21, 3
0, 22, 3
0, 23, 3
0, 24, 1
0, 25, 3
0, 26, 2
0, 27, 3
0, 28, 2
0, 29, 3
1, 0, 3
1, 1, 3
1, 2, 2
1, 3, 3
1, 4, 2
1, 5, 1
1, 6, 3
1, 7, 3
1, 8, 2
1, 9, 2
1, 10, 3
1, 11, 2
1, 12, 1
1, 13, 3
1, 14, 1
1, 15, 3
1, 16, 1
1, 17, 1
1, 18, 1
1, 19, 1
1, 20, 3
1, 21, 2
1, 22, 2
1, 23, 3
1, 24, 3
1, 25, 1
1, 26, 3
1, 27, 2
1, 28, 1
1, 29, 1
2, 0, 1
2, 1, 3
2, 2, 1
2, 3, 2
2, 4, 1
2, 5, 2
2, 6, 3
2, 7, 3
2, 8, 2
2, 9, 1
2, 10, 1
2, 11, 1
2, 12, 1
2, 13, 2
2, 14, 3
2, 15, 1
2, 16, 2
2, 17, 2
2, 18, 1
2, 19, 1
2, 20, 1
2, 21, 3
2, 22, 3
2, 23, 2
2, 24, 2
2, 25, 3
2, 26, 1
2, 27, 3
2, 28, 1
2, 29, 3
3, 0, 1
3, 1, 3
3, 2, 3
3, 3, 3
3, 4, 1
3, 5, 3
3, 6, 1
3, 7, 3
3, 8, 2
3, 9, 3
3, 10, 2
3, 11, 1
3, 12, 2
3, 13, 1
3, 14, 2
3, 15, 3
3, 16, 3
3, 17, 1
3, 18, 3
3, 19, 3
3, 20, 3
3, 21, 2
3, 22, 2
3, 23, 2
3, 24, 2
3, 25, 1
3, 26, 1
3, 27, 2
3, 28, 2
3, 29, 1
4, 0, 1
4, 1, 2
4, 2, 2
4, 3, 1
4, 4, 2
4, 5, 1
4, 6, 1
4, 7, 3
4, 8, 1
4, 9, 1
4, 10, 1
4, 11, 3
4, 12, 3
4, 13, 3
4, 14, 2
4, 15, 3
4, 16, 3
4, 17, 1
4, 18, 3
4, 19, 1
4, 20, 2
4, 21, 3
4, 22, 3
4, 23, 1
4, 24, 2
4, 25, 2
4, 26, 1
4, 27, 2
4, 28, 2
4, 29, 2
5, 0, 2
5, 1, 1
5, 2, 1
5, 3, 3
5, 4, 1
5, 5, 1
5, 6, 3
5, 7, 2
5, 8, 3
5, 9, 2
5, 10, 2
5, 11, 1
5, 12, 3
5, 13, 3
5, 14, 2
5, 15, 3
5, 16, 3
5, 17, 2
5, 18, 2
5, 19, 1
5, 20, 2
5, 21, 1
5, 22, 3
5, 23, 1
5, 24, 1
5, 25, 3
5, 26, 1
5, 27, 1
5, 28, 2
5, 29, 2
6, 0, 3
6, 1, 3
6, 2, 3
6, 3, 1
6, 4, 2
6, 5, 1
6, 6, 1
6, 7, 2
6, 8, 2
6, 9, 2
6, 10, 3
6, 11, 3
6, 12, 3
6, 13, 2
6, 14, 1
6, 15, 1
6, 16, 2
6, 17, 2
6, 18, 3
6, 19, 1
6, 20, 1
6, 21, 2
6, 22, 1
6, 23, 3
6, 24, 2
6, 25, 1
6, 26, 3
6, 27, 2
6, 28, 1
6, 29, 1
7, 0, 1
7, 1, 2
7, 2, 1
7, 3, 1
7, 4, 2
7, 5, 1
7, 6, 1
7, 7, 3
7, 8, 3
7, 9, 1
7, 10, 2
7, 11, 1
7, 12, 2
7, 13, 3
7, 14, 3
7, 15, 2
7, 16, 1
7, 17, 1
7, 18, 1
7, 19, 1
7, 20, 3
7, 21, 2
7, 22, 2
7, 23, 2
7, 24, 2
7, 25, 3
7, 26, 3
7, 27, 3
7, 28, 1
7, 29, 3
8, 0, 3
8, 1, 1
8, 2, 2
8, 3, 1
8, 4, 2
8, 5, 3
8, 6, 1
8, 7, 1
8, 8, 3
8, 9, 1
8, 10, 2
8, 11, 1
8, 12, 3
8, 13, 3
8, 14, 3
8, 15, 1
8, 16, 1
8, 17, 1
8, 18, 3
8, 19, 1
8, 20, 2
8, 21, 3
8, 22, 3
8, 23, 2
8, 24, 1
8, 25, 2
8, 26, 1
8, 27, 3
8, 28, 2
8, 29, 3
9, 0, 3
9, 1, 2
9, 2, 3
9, 3, 3
9, 4, 3
9, 5, 1
9, 6, 3
9, 7, 3
9, 8, 1
9, 9, 3
9, 10, 1
9, 11, 3
9, 12, 2
9, 13, 1
9, 14, 1
9, 15, 3
9, 16, 3
9, 17, 3
9, 18, 3
9, 19, 1
9, 20, 1
9, 21, 2
9, 22, 1
9, 23, 3
9, 24, 1
9, 25, 1
9, 26, 2
9, 27, 1
9, 28, 2
9, 29, 2
10, 0, 3
10, 1, 2
10, 2, 2
10, 3, 3
10, 4, 1
10, 5, 3
10, 6, 2
10, 7, 2
10, 8, 1
10, 9, 2
10, 10, 1
10, 11, 2
10, 12, 3
10, 13, 3
10, 14, 2
10, 15, 1
10, 16, 1
10, 17, 3
10, 18, 2
10, 19, 2
10, 20, 1
10, 21, 2
10, 22, 2
10, 23, 1
10, 24, 1
10, 25, 1
10, 26, 3
10, 27, 3
10, 28, 2
10, 29, 3
11, 0, 3
11, 1, 3
11, 2, 2
11, 3, 1
11, 4, 2
11, 5, 1
11, 6, 2
11, 7, 3
11, 8, 2
11, 9, 1
11, 10, 1
11, 11, 3
11, 12, 2
11, 13, 2
11, 14, 1
11, 15, 2
11, 16, 1
11, 17, 3
11, 18, 2
11, 19, 1
11, 20, 1
11, 21, 1
11, 22, 2
11, 23, 3
11, 24, 3
11, 25, 2
11, 26, 1
11, 27, 1
11, 28, 2
11, 29, 1
12, 0, 1
12, 1, 2
12, 2, 1
12, 3, 1
12, 4, 2
12, 5, 1
12, 6, 2
12, 7, 2
12, 8, 1
12, 9, 1
12, 10, 3
12, 11, 3
12, 12, 3
12, 13, 3
12, 14, 2
12, 15, 1
12, 16, 3
12, 17, 3
12, 18, 3
12, 19, 3
12, 20, 1
12, 21, 3
12, 22, 3
12, 23, 1
12, 24, 1
12, 25, 1
12, 26, 2
12, 27, 2
12, 28, 2
12, 29, 2
13, 0, 3
13, 1, 3
13, 2, 2
13, 3, 1
13, 4, 3
13, 5, 3
13, 6, 2
13, 7, 1
13, 8, 3
13, 9, 3
13, 10, 3
13, 11, 2
13, 12, 3
13, 13, 1
13, 14, 3
13, 15, 2
13, 16, 3
13, 17, 3
13, 18, 2
13, 19, 1
13, 20, 2
13, 21, 3
13, 22, 2
13, 23, 3
13, 24, 3
13, 25, 1
13, 26, 2
13, 27, 1
13, 28, 1
13, 29, 1
14, 0, 2
14, 1, 3
14, 2, 3
14, 3, 1
14, 4, 2
14, 5, 1
14, 6, 3
14, 7, 2
14, 8, 2
14, 9, 1
14, 10, 1
14, 11, 1
14, 12, 1
14, 13, 1
14, 14, 3
14, 15, 3
14, 16, 2
14, 17, 2
14, 18, 2
14, 19, 1
14, 20, 1
14, 21, 3
14, 22, 2
14, 23, 3
14, 24, 3
14, 25, 1
14, 26, 1
14, 27, 3
14, 28, 3
14, 29, 1
15, 0, 3
15, 1, 2
15, 2, 2
15, 3, 3
15, 4, 2
15, 5, 2
15, 6, 1
15, 7, 3
15, 8, 1
15, 9, 3
15, 10, 3
15, 11, 3
15, 12, 3
15, 13, 1
15, 14, 1
15, 15, 3
15, 16, 2
15, 17, 1
15, 18, 1
15, 19, 2
15, 20, 1
15, 21, 3
15, 22, 3
15, 23, 3
15, 24, 3
15, 25, 1
15, 26, 1
15, 27, 2
15, 28, 1
15, 29, 3
16, 0, 2
16, 1, 2
16, 2, 1
16, 3, 3
16, 4, 1
16, 5, 1
16, 6, 3
16, 7, 2
16, 8, 1
16, 9, 1
16, 10, 2
16, 11, 3
16, 12, 1
16, 13, 3
16, 14, 3
16, 15, 2
16, 16, 3
16, 17, 1
16, 18, 3
16, 19, 2
16, 20, 1
16, 21, 3
16, 22, 1
16, 23, 3
16, 24, 3
16, 25, 1
16, 26, 3
16, 27, 1
16, 28, 2
16, 29, 1
17, 0, 3
17, 1, 1
17, 2, 1
17, 3, 1
17, 4, 2
17, 5, 3
17, 6, 1
17, 7, 3
17, 8, 2
17, 9, 2
17, 10, 2
17, 11, 1
17, 12, 3
17, 13, 3
17, 14, 2
17, 15, 3
17, 16, 3
17, 17, 3
17, 18, 2
17, 19, 3
17, 20, 1
17, 21, 3
17, 22, 2
17, 23, 1
17, 24, 3
17, 25, 3
17, 26, 1
17, 27, 2
17, 28, 1
17, 29, 1
18, 0, 2
18, 1, 3
18, 2, 3
18, 3, 2
18, 4, 1
18, 5, 1
18, 6, 1
18, 7, 3
18, 8, 2
18, 9, 3
18, 10, 3
18, 11, 3
18, 12, 3
18, 13, 2
18, 14, 3
18, 15, 3
18, 16, 1
18, 17, 1
18, 18, 2
18, 19, 2
18, 20, 3
18, 21, 3
18, 22, 2
18, 23, 2
18, 24, 3
18, 25, 2
18, 26, 3
18, 27, 2
18, 28, 2
18, 29, 3
19, 0, 1
19, 1, 2
19, 2, 3
19, 3, 1
19, 4, 3
19, 5, 1
19, 6, 3
19, 7, 1
19, 8, 3
19, 9, 2
19, 10, 3
19, 11, 1
